test_cable_id,braid_id,connector_pn,connector_flex_pn,size,PS
1,1,D38999/24KD35SN,'1120659429',37,S
1,2,D38999/24KA35PN,'1120672121',6,P
2,1,D38999/24WB35PN,'112063577',13,P
2,2,D38999/24WB35PN,'112063577',13,P
2,3,221Y10F24,'1168128673',10,P
2,4,221Y10F24,'1168128673',10,P
3,1,D38999/24KD35PN,'112063669',37,P
3,2,D38999/20WB98SN,'112060819',6,S
4,1,D38999/26WE6SN,'112068859',6,S
4,2,RM252-040-321-5570,'116800583',40,P
5,1,M24308/04-13F,'114010759',44,P
6,1,D38999/20WB35PN,'112064068',13,P
6,2,D38999/26WB35SN,'112063599',13,S
6,3,D38999/26WD5SN,'112060875',5,S
7,1,D38999/26WJ61PN,'112060004',61,P
8,1,RM352-047-321-5500BN,'1168169686',47,P
9,1,D38999/26WC35SN,'112063625',22,S
10,1,RM342-059-211-2900,'1168189662',59,S
11,1,M24308/24-3F,'114011099',25,P
12,1,M24308/23-4F,'114011631',37,S
13,1,RM232-030-111-2900,'NONE',30,P
14,1,WTBV30PD7JT,'NONE',30,P
15,1,M24308/24-61F,'114013484',15,P
16,1,D38999/24WJ61SN,'NONE',55,S
16,2,D38999/20WE35SN,'112060945',61,S
17,1,DD44M1000C-50,'1140145236',44,P
18,1,D38999/26WJ35PN,'112061632',128,P
19,1,D38999/26WG35PN,'112063739',79,P
20,1,D38999/26WG41PN,'112061540',41,P
21,1,DD15M1000X-50,'1140156308',15,P
22,1,M24308/02-13F,'NONE',44,S
23,1,D38999/20WD35SN,'NONE',38,S
24,1,D38999/20WD35PN,'NONE',38,P
25,1,TV07RW25-1AP2STOY57,'NONE',8,P
25,2,TV07RW25-1AS2RPCQ01,'NONE',8,P
25,3,D38999/24WC4PN,'NONE',4,P
26,1,NONE,'NONE',30,P
27,1,NONE,'NONE',20,P
28,1,D38999/24WH35PN,'NONE',100,P
28,2,D38999/24WH35SA,'NONE',100,S
29,1,D38999/24WD35PN,'NONE',37,P
30,1,D38999/24WD35SN,'NONE',37,S
31,1,D38999/24WD35SA,'NONE',37,S
32,1,D38999/24WD97SA,'NONE',12,S
32,2,D38999/24WD97PA,'NONE',12,P
33,1,D38999/24WC35SN,'NONE',22,S
33,2,D38999/24WC35PN,'NONE',22,P
34,1,D38999/24WC35SA,'NONE',22,S
34,2,D38999/24WC35PN,'NONE',22,P
35,1,D38999/24WD35SN,'NONE',37,S
35,2,D38999/24WC35PN,'NONE',22,P
36,1,D38999/24WD97SN,'NONE',12,S
36,2,D38999/24WD97PN,'NONE',12,P
37,1,M24308/4-1,'NONE',9,P
37,2,M24308/2-1F,'NONE',9,S
38,1,M24308/4-1F,'NONE',9,P
38,2,M24308/2-11F,'NONE',15,S
39,1,D38999/24WJ35SN,'NONE',128,S
40,1,D38999/24WH35SN,'NONE',100,S
40,2,D38999/24WH35PN,'NONE',100,P
41,1,M24308/24-63F,'NONE',44,P
42,1,ISDF-15-D-L,'NONE',30,S
43,1,322S051H01,'1168147333',52,S
44,1,D38999/24WE35SN,'NONE',55,S
44,2,N/A,'N/A',0,NA
44,3,N/A,'N/A',0,NA
44,4,N/A,'N/A',0,NA
